Freq[Hz]        [dBSPL]         Phase[Deg]
107.70          63.81           76.54
108.14          63.81           72.95
108.58          63.82           69.04
109.03          63.85           64.78
109.48          63.94           60.24
109.93          64.08           55.54
110.38          64.25           50.87
110.84          64.40           46.39
111.29          64.52           42.17
111.75          64.61           38.06
112.21          64.68           33.71
112.67          64.79           28.72
113.13          64.96           22.89
113.60          65.18           16.36
114.07          65.42           9.49
114.54          65.64           2.68
115.01          65.85           -3.94
115.48          66.08           -10.43
115.95          66.36           -16.95
116.43          66.68           -23.53
116.91          66.98           -30.12
117.39          67.22           -36.62
117.87          67.39           -43.02
118.36          67.52           -49.39
118.85          67.66           -55.82
119.33          67.81           -62.24
119.83          67.95           -68.44
120.32          68.07           -74.24
120.81          68.18           -79.62
121.31          68.29           -84.76
121.81          68.42           -89.86
122.31          68.56           -94.98
122.81          68.68           -100.06
123.32          68.75           -105.00
123.83          68.76           -109.85
124.34          68.76           -114.76
124.85          68.78           -119.87
125.36          68.86           -125.11
125.88          68.98           -130.24
126.39          69.11           -135.08
126.91          69.23           -139.62
127.44          69.32           -143.99
127.96          69.37           -148.32
128.49          69.42           -152.68
129.01          69.46           -157.12
129.55          69.49           -161.67
130.08          69.53           -166.35
130.61          69.56           -171.10
131.15          69.58           -175.75
131.69          69.59           179.87
132.23          69.58           175.78
132.78          69.57           171.81
133.32          69.54           167.78
133.87          69.48           163.60
134.42          69.40           159.38
134.97          69.30           155.21
135.53          69.22           151.16
136.09          69.14           147.22
136.65          69.06           143.37
137.21          68.96           139.67
137.77          68.84           136.12
138.34          68.70           132.67
138.91          68.56           129.21
139.48          68.42           125.68
140.05          68.29           122.07
140.63          68.15           118.48
141.21          68.01           115.04
141.79          67.89           111.82
142.37          67.75           108.82
142.96          67.58           105.99
143.55          67.36           103.23
144.14          67.12           100.47
144.73          66.89           97.70
145.32          66.68           94.98
145.92          66.51           92.40
146.52          66.36           89.96
147.13          66.17           87.64
147.73          65.89           85.42
148.34          65.59           83.33
148.95          65.30           81.30
149.56          65.07           79.25
150.18          64.84           77.13
150.79          64.56           75.03
151.41          64.26           73.07
152.04          64.00           71.30
152.66          63.81           69.67
153.29          63.66           68.18
153.92          63.51           66.84
154.55          63.33           65.49
155.19          63.08           64.05
155.83          62.77           62.58
156.47          62.50           61.27
157.11          62.31           60.24
157.76          62.16           59.40
158.41          62.02           58.55
159.06          61.87           57.66
159.71          61.74           57.00
160.37          61.61           56.72
161.03          61.51           56.63
161.69          61.45           56.43
162.36          61.39           56.04
163.03          61.32           55.52
163.70          61.22           55.03
164.37          61.11           54.74
165.05          61.00           54.68
165.72          60.95           54.69
166.41          60.95           54.53
167.09          60.95           54.01
167.78          60.92           53.13
168.47          60.85           52.09
169.16          60.78           51.17
169.86          60.79           50.45
170.56          60.85           49.81
171.26          60.84           48.96
171.96          60.77           48.23
172.67          60.87           48.63
173.38          61.11           48.83
174.09          60.96           43.54
174.81          60.73           31.39
175.53          60.46           20.33
176.25          60.34           16.44
176.97          60.90           16.25
177.70          61.17           15.35
178.43          61.30           13.82
179.17          61.46           12.67
179.90          61.58           11.74
180.64          61.59           10.48
181.39          61.57           8.69
182.13          61.67           6.57
182.88          61.81           3.93
183.63          61.82           0.05
184.39          61.76           -3.38
185.15          62.06           -1.02
185.91          62.42           8.21
186.67          62.73           16.18
187.44          62.87           16.84
188.21          62.58           13.75
188.99          62.49           11.44
189.76          62.52           9.93
190.55          62.49           8.22
191.33          62.41           6.36
192.12          62.37           4.52
192.91          62.37           2.60
193.70          62.40           0.74
194.50          62.41           -0.70
195.30          62.40           -1.76
196.10          62.38           -2.92
196.91          62.33           -4.66
197.72          62.24           -6.85
198.53          62.14           -8.72
199.35          62.04           -10.02
200.17          61.94           -11.30
200.99          61.85           -12.91
201.82          61.78           -14.84
202.65          61.71           -16.62
203.48          61.62           -17.97
204.32          61.53           -18.97
205.16          61.41           -19.57
206.00          61.25           -19.75
206.85          61.16           -19.39
207.70          61.19           -18.63
208.55          61.24           -18.22
209.41          61.30           -18.11
210.27          61.49           -17.82
211.14          61.84           -17.79
212.01          62.25           -18.28
212.88          62.63           -19.09
213.75          62.94           -19.87
214.63          63.23           -20.42
215.52          63.58           -21.16
216.40          63.95           -22.56
217.29          64.25           -24.63
218.19          64.48           -27.07
219.08          64.68           -29.77
219.99          64.87           -33.29
220.89          65.00           -37.57
221.80          65.08           -41.59
222.71          65.17           -45.29
223.63          65.23           -49.09
224.55          65.19           -52.87
225.47          65.11           -56.43
226.40          65.03           -59.60
227.33          64.91           -62.56
228.26          64.75           -65.34
229.20          64.60           -67.93
230.15          64.43           -70.53
231.09          64.26           -72.94
232.04          64.13           -75.08
233.00          64.06           -76.97
233.96          63.96           -78.76
234.92          63.84           -80.51
235.88          63.82           -81.88
236.86          63.80           -83.11
237.83          63.71           -84.57
238.81          63.66           -86.16
239.79          63.63           -88.08
240.78          63.63           -90.13
241.77          63.75           -91.77
242.76          63.90           -93.59
243.76          64.04           -95.81
244.76          64.20           -97.91
245.77          64.29           -99.74
246.78          64.38           -101.77
247.80          64.45           -104.43
248.81          64.49           -107.35
249.84          64.58           -110.12
250.87          64.68           -113.35
251.90          64.78           -116.74
252.93          64.81           -119.35
253.97          64.84           -121.85
255.02          64.90           -124.60
256.07          64.97           -127.61
257.12          65.01           -130.98
258.18          64.96           -134.28
259.24          64.83           -137.39
260.31          64.77           -140.61
261.38          64.75           -144.36
262.45          64.70           -148.31
263.53          64.60           -151.73
264.62          64.56           -154.44
265.70          64.49           -157.18
266.80          64.32           -159.89
267.90          64.10           -162.18
269.00          63.97           -164.67
270.10          63.82           -167.44
271.21          63.61           -169.74
272.33          63.36           -171.86
273.45          63.06           -173.98
274.58          62.86           -174.94
275.70          62.77           -175.56
276.84          62.50           -176.46
277.98          62.19           -177.25
279.12          61.94           -177.72
280.27          61.78           -178.25
281.42          61.68           -179.16
282.58          61.55           -179.97
283.74          61.50           179.34
284.91          61.64           178.55
286.08          61.94           177.87
287.26          62.21           177.09
288.44          62.40           176.29
289.63          62.57           175.48
290.82          62.88           175.24
292.01          63.35           174.65
293.21          63.64           172.46
294.42          64.03           170.43
295.63          64.37           168.83
296.85          64.70           167.02
298.07          64.99           165.01
299.29          65.25           162.74
300.53          65.56           159.87
301.76          65.89           157.12
303.00          66.15           154.01
304.25          66.35           150.63
305.50          66.53           147.57
306.76          66.76           144.33
308.02          67.01           140.90
309.29          67.21           136.75
310.56          67.36           131.93
311.84          67.55           127.90
313.12          67.71           124.01
314.41          67.85           120.07
315.70          67.96           115.75
317.00          68.04           111.29
318.30          68.17           107.18
319.61          68.26           103.29
320.93          68.35           99.22
322.25          68.43           95.43
323.57          68.48           91.28
324.90          68.57           87.03
326.24          68.64           82.67
327.58          68.64           78.38
328.93          68.64           74.24
330.28          68.64           70.17
331.64          68.65           66.31
333.00          68.64           62.28
334.37          68.62           57.78
335.75          68.62           53.62
337.13          68.61           49.99
338.52          68.54           46.04
339.91          68.47           42.20
341.31          68.41           38.08
342.71          68.37           33.99
344.12          68.29           30.37
345.54          68.23           26.84
346.96          68.16           22.93
348.38          68.11           19.26
349.82          68.02           15.22
351.26          67.90           11.22
352.70          67.80           7.27
354.15          67.67           3.43
355.61          67.60           -0.23
357.07          67.51           -3.59
358.54          67.40           -7.25
360.02          67.29           -10.87
361.50          67.21           -14.53
362.98          67.11           -18.07
364.48          66.97           -21.83
365.98          66.92           -25.80
367.48          66.82           -29.62
368.99          66.67           -33.03
370.51          66.56           -36.60
372.03          66.48           -39.52
373.56          66.41           -43.06
375.10          66.26           -46.42
376.64          66.15           -49.79
378.19          66.05           -52.81
379.75          65.93           -56.27
381.31          65.83           -59.94
382.88          65.77           -63.42
384.45          65.67           -66.61
386.04          65.49           -69.61
387.62          65.33           -72.90
389.22          65.16           -75.72
390.82          65.04           -79.08
392.43          64.98           -82.33
394.04          64.87           -85.57
395.66          64.83           -88.68
397.29          64.76           -91.38
398.92          64.69           -93.97
400.56          64.61           -96.89
402.21          64.53           -100.45
403.87          64.53           -103.73
405.53          64.44           -106.63
407.20          64.23           -108.95
408.87          64.21           -112.65
410.55          64.24           -116.04
412.24          64.25           -119.44
413.94          64.22           -123.19
415.64          64.14           -126.33
417.35          64.03           -129.71
419.07          63.93           -133.33
420.79          63.76           -137.09
422.52          63.65           -140.51
424.26          63.57           -143.89
426.00          63.51           -147.31
427.76          63.43           -150.75
429.51          63.29           -153.91
431.28          63.34           -157.46
433.06          63.45           -161.26
434.84          63.26           -163.77
436.63          63.14           -167.29
438.42          62.98           -170.37
440.22          62.83           -172.96
442.04          62.72           -176.48
443.85          62.71           -179.25
445.68          62.68           177.38
447.51          62.75           174.44
449.35          62.79           171.18
451.20          62.91           167.75
453.06          63.02           164.63
454.92          63.10           161.66
456.79          63.23           158.79
458.67          63.27           155.77
460.56          63.45           152.18
462.45          63.69           148.19
464.35          63.83           145.29
466.26          63.97           142.08
468.18          64.22           138.09
470.11          64.37           134.70
472.04          64.51           130.31
473.98          64.71           127.25
475.93          64.77           122.80
477.89          64.89           117.70
479.86          64.99           113.43
481.83          65.06           108.86
483.81          65.05           104.49
485.80          65.03           99.22
487.80          65.09           94.43
489.81          65.04           89.75
491.82          64.98           85.34
493.85          65.00           80.26
495.88          65.00           75.41
497.92          64.88           70.89
499.96          64.83           66.30
502.02          64.80           62.39
504.09          64.68           57.78
506.16          64.67           53.86
508.24          64.67           50.51
510.33          64.52           46.11
512.43          64.44           41.57
514.54          64.41           37.68
516.66          64.34           34.20
518.78          64.25           30.57
520.91          64.31           27.65
523.06          64.24           25.20
525.21          64.28           22.00
527.37          64.33           19.02
529.54          64.53           15.67
531.72          64.61           12.62
533.90          64.77           9.00
536.10          64.99           5.38
538.30          65.17           2.16
540.52          65.39           -1.42
542.74          65.69           -5.03
544.97          65.97           -8.30
547.22          66.31           -12.31
549.47          66.65           -16.41
551.73          66.95           -21.17
554.00          67.17           -26.70
556.28          67.48           -32.72
558.56          67.66           -37.99
560.86          67.82           -43.91
563.17          67.98           -49.20
565.48          68.15           -55.18
567.81          68.28           -61.20
570.15          68.34           -66.93
572.49          68.39           -73.11
574.85          68.42           -79.35
577.21          68.49           -85.43
579.59          68.55           -91.85
581.97          68.54           -98.13
584.36          68.51           -104.12
586.77          68.45           -109.82
589.18          68.40           -115.77
591.60          68.34           -121.53
594.04          68.33           -127.35
596.48          68.28           -132.83
598.93          68.22           -139.05
601.40          68.18           -144.55
603.87          68.09           -149.93
606.36          68.06           -155.62
608.85          68.00           -161.06
611.35          67.98           -166.38
613.87          67.88           -171.87
616.39          67.80           -176.99
618.93          67.77           177.83
621.47          67.76           172.28
624.03          67.77           167.06
626.60          67.85           161.99
629.18          67.82           156.47
631.76          67.83           150.77
634.36          67.97           145.10
636.97          68.00           139.68
639.59          68.06           133.76
642.22          68.18           127.68
644.86          68.24           121.62
647.52          68.32           115.01
650.18          68.37           108.37
652.85          68.41           101.62
655.54          68.48           94.83
658.24          68.53           87.85
660.94          68.53           80.99
663.66          68.44           73.56
666.39          68.32           65.96
669.13          68.24           59.11
671.89          68.10           52.48
674.65          67.87           45.76
677.42          67.65           39.37
680.21          67.39           33.45
683.01          67.04           28.22
685.82          66.77           23.03
688.64          66.53           18.57
691.47          66.22           14.88
694.32          66.01           11.40
697.17          65.74           7.84
700.04          65.42           4.26
702.92          65.33           0.85
705.81          65.49           -2.20
708.71          65.66           -5.25
711.63          65.89           -9.07
714.56          66.11           -12.97
717.50          66.47           -17.00
720.45          66.79           -21.23
723.41          67.17           -25.98
726.39          67.58           -31.46
729.37          67.94           -36.89
732.37          68.28           -43.17
735.39          68.56           -49.94
738.41          68.82           -57.12
741.45          69.05           -64.25
744.50          69.26           -71.17
747.56          69.45           -78.22
750.64          69.58           -85.69
753.72          69.71           -93.33
756.82          69.81           -100.77
759.94          69.98           -108.33
763.06          70.08           -115.61
766.20          70.21           -123.22
769.35          70.30           -131.10
772.52          70.42           -138.54
775.69          70.50           -146.14
778.89          70.60           -153.63
782.09          70.69           -161.29
785.31          70.76           -168.84
788.54          70.85           -176.38
791.78          70.99           175.67
795.04          71.09           167.36
798.31          71.19           159.48
801.59          71.30           151.64
804.89          71.40           143.60
808.20          71.46           135.37
811.52          71.50           127.02
814.86          71.54           118.64
818.21          71.55           110.59
