Freq[Hz]        [dBSPL]         Phase[Deg]
42.94           66.16           149.51
43.12           66.38           147.07
43.29           66.63           144.56
43.47           66.91           141.99
43.65           67.22           139.37
43.83           67.54           136.70
44.01           67.88           133.96
44.19           68.21           131.15
44.37           68.53           128.26
44.56           68.83           125.28
44.74           69.09           122.23
44.92           69.33           119.13
45.11           69.53           115.99
45.29           69.71           112.85
45.48           69.85           109.74
45.67           69.97           106.73
45.86           70.07           103.84
46.04           70.14           101.13
46.23           70.19           98.61
46.42           70.22           96.33
46.61           70.24           94.28
46.81           70.24           92.48
47.00           70.25           90.92
47.19           70.26           89.60
47.39           70.29           88.49
47.58           70.35           87.59
47.78           70.43           86.88
47.97           70.54           86.33
48.17           70.68           85.92
48.37           70.83           85.63
48.57           70.98           85.42
48.77           71.14           85.28
48.97           71.28           85.17
49.17           71.42           85.06
49.37           71.54           84.94
49.58           71.65           84.77
49.78           71.74           84.55
49.98           71.82           84.25
50.19           71.89           83.86
50.40           71.95           83.38
50.60           72.00           82.80
50.81           72.04           82.09
51.02           72.08           81.24
51.23           72.10           80.24
51.44           72.13           79.07
51.65           72.16           77.71
51.86           72.19           76.16
52.08           72.23           74.41
52.29           72.27           72.49
52.51           72.32           70.42
52.72           72.38           68.24
52.94           72.43           66.00
53.16           72.48           63.75
53.38           72.53           61.53
53.60           72.57           59.35
53.82           72.62           57.22
54.04           72.68           55.15
54.26           72.75           53.10
54.48           72.84           51.07
54.71           72.96           49.03
54.93           73.10           46.97
55.16           73.26           44.89
55.39           73.41           42.77
55.61           73.55           40.62
55.84           73.66           38.42
56.07           73.73           36.17
56.30           73.78           33.87
56.53           73.81           31.51
56.77           73.83           29.12
57.00           73.85           26.71
57.23           73.90           24.33
57.47           73.99           22.01
57.71           74.12           19.80
57.94           74.29           17.73
58.18           74.49           15.83
58.42           74.69           14.09
58.66           74.86           12.51
58.90           74.98           11.07
59.15           75.07           9.75
59.39           75.13           8.54
59.63           75.18           7.41
59.88           75.23           6.35
60.12           75.29           5.36
60.37           75.37           4.41
60.62           75.46           3.50
60.87           75.54           2.61
61.12           75.61           1.72
61.37           75.65           0.84
61.62           75.66           -0.05
61.88           75.64           -0.94
62.13           75.60           -1.85
62.39           75.59           -2.78
62.64           75.61           -3.78
62.90           75.69           -4.87
63.16           75.83           -6.08
63.42           76.01           -7.43
63.68           76.21           -8.93
63.94           76.43           -10.55
64.21           76.64           -12.27
64.47           76.83           -14.05
64.74           77.00           -15.86
65.00           77.15           -17.72
65.27           77.28           -19.63
65.54           77.41           -21.64
65.81           77.55           -23.76
66.08           77.70           -26.02
66.35           77.87           -28.40
66.62           78.05           -30.88
66.90           78.23           -33.41
67.17           78.41           -35.97
67.45           78.59           -38.52
